counts,state
203,Alaska
264,Alabama
120,Arkansas
367,Arizona
5027,California
404,Colorado
769,Connecticut
129,Delaware
852,Florida
439,Georgia
313,Hawaii
245,Iowa
109,Idaho
2476,Illinois
658,Indiana
216,Kansas
389,Kentucky
212,Louisiana
1106,Massachusetts
986,Maryland
113,Maine
1520,Michigan
919,Minnesota
759,Missouri
142,Mississippi
207,Montana
259,North Carolina
46,North Dakota
81,Nebraska
143,New Hampshire
2088,New Jersey
210,New Mexico
588,Nevada
4853,New York
1455,Ohio
180,Oklahoma
739,Oregon
2326,Pennsylvania
273,Rhode Island
118,South Carolina
32,South Dakota
289,Tennessee
1019,Texas
106,Utah
658,Virginia
70,Vermont
1432,Washington
480,Wisconsin
270,West Virginia
43,Wyoming