state,counts
Alabama,176
Alaska,135
Arizona,251
Arkansas,77
California,3337
Colorado,282
Connecticut,570
Delaware,106
Florida,612
Georgia,308
Hawaii,224
Idaho,80
Illinois,1704
Indiana,449
Iowa,204
Kansas,165
Kentucky,292
Louisiana,122
Maine,75
Maryland,597
Massachusetts,822
Michigan,1000
Minnesota,636
Mississippi,96
Missouri,529
Montana,126
Nebraska,62
Nevada,393
New Hampshire,89
New Jersey,1379
New Mexico,128
New York,3102
North Carolina,161
North Dakota,32
Ohio,919
Oklahoma,112
Oregon,517
Pennsylvania,1617
Rhode Island,171
South Carolina,84
South Dakota,30
Tennessee,185
Texas,720
Utah,65
Vermont,57
Virginia,403
Washington,972
West Virginia,175
Wisconsin,336
Wyoming,31