year,works_stoppage_beginning ,work_stoppage_in_effect,workers_beginning_in_period,workers_in_effect_during_period
"
2008",15,16,72200,82700
"
2009",5,5,12500,12500
"
2010",11,11,44500,44500
"
2011",19,19,112500,112500
"
2012",19,21,148100,150400
"
2013",15,15,54500,54500
"
2014",11,11,34300,34300
"
2015",12,13,47300,49000
"
2016",15,16,99400,101600
"
2017",7,7,25300,25300
"
2018",20,21,485200,487000
"
2019",25,27,425500,428500
"
2020",8,10,27000,30600
2021,16,17,80700,82500
2022,23,26,120600,126500